hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev
3942;Szék - SE-CLOUL20 karfás tárgyaló;BU01;Szék
3812;Asztal - VANGSTA;BA99;Egyéb asztal
3965;Konténer - FalproCON;BS06;Görgős, fiókos szekrény
707;Switch Cisco SG200-50 SLM2048T;SH05;Switch
3059;Monitor-  Samsung LC27;SS02;Monitor
1813;Fénymásoló - KYOCERA Ecosys M2030DN;KI02;Fénymásoló, Multifunkciós eszköz
3810;Kávéfőző - DeLonghi ESAM2600;EH01;Kávéfőző
3811;Mikrohullámú sütő - Sharp YC-MS01ES;EH03;Mikrohullámú sütő
3024;Monitor - Samsung ívelt LED monitor;SS02;Monitor
2990;Monitor- Samsung SL-M2070W;SS02;Monitor
3182;SZÁMÍTÓGÉP-  PST R9-3900X/32GB/1TB;SS01;Számítógép
2984;Monitor- LG 24MP59G-P Gaming LED;SS02;Monitor
3083;Számítógép - AMD Ryzen 7 3700X;SS01;Számítógép
1519;"Monitor - ASUS VS247HR 24""";SS02;Monitor
2679;Monitor - Samsung C24FG70FQU;SS02;Monitor
2702;Monitor - Samsung LC32HG70QQUXEN;SS02;Monitor
2442;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
1772;Notebook - Dell Inspiron 5559;SS03;Laptop
1824;Notebook - Dell Inspiron 5559;SS03;Laptop
3212;Projektor - Epson EB-W05;KK01;Projektor
2969;"Monitor- DELL LCD 24""";SS02;Monitor
3337;Monitor - DELL P2419H;SS02;Monitor
1825;Notebook - Dell Inspiron 5559;SS03;Laptop
3411;Laptop - Dell Latitude;SS03;Laptop
1827;Notebook - Dell Inspiron 5559;SS03;Laptop
3289;Mobiltelefon - Huawei P40 Lite DS;KT04;Mobiltelefon
3553;MikroTik Router Switch;SH01;Router
708;SWITCH HP V1910-16G;SH05;Switch
2469;Laptop- DELL Inspiron 15 3000 Black;SS03;Laptop
2504;"Laptop- DELL Inspiron 7577 15.6"" FHD";SS03;Laptop
1387;LAPTOP DELL INSPIRON N5110;SS03;Laptop
1394;Laptop Dell Inspiron N5010;SS03;Laptop
1384;Laptop-Dell NB Inspiron;SS03;Laptop
1395;Laptop-Lenovo IdeOad G50-80;SS03;Laptop
1741;Laptop - Dell Inspiron 5559;SS03;Laptop
3063;"Notebook- HP 255 G7 15.6""";SS03;Laptop
2952;Notebook- ASUS X540UB-GQ758;SS03;Laptop
3068;Laptop - MSI GF63 Thin 9SC;SS03;Laptop
3201;Laptop - Lenovo Legion Y540;SS03;Laptop
3475;Laptop - HP15s-fq1036nh;SS03;Laptop
2686;Laptop - ASUS X540LA XX1032T;SS03;Laptop
2672;Laptop - ASUS E406-62T;SS03;Laptop
3099;Laptop - Acer Predator Helios 300;SS03;Laptop
