hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
3821;Laptop - HP15;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
3781;Laptop - Lenovo;SS03;Laptop;4868;Laptop;SS03;Laptop
3781;Laptop - Lenovo;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
3780;Laptop - ASUS ZenBook Flip 13;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3780;Laptop - ASUS ZenBook Flip 13;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
2557;Laptop- DELL NB Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
2557;Laptop- DELL NB Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
2511;Laptop- DELL Inspiron G5;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
2511;Laptop- DELL Inspiron G5;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
3745;Laptop - LENOVO IdeaPad 5-15ALC05;SS03;Laptop;4868;Laptop;SS03;Laptop
3745;Laptop - LENOVO IdeaPad 5-15ALC05;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
3739;Laptop - Lenovo IdeaPad 3;SS03;Laptop;4868;Laptop;SS03;Laptop
3739;Laptop - Lenovo IdeaPad 3;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
4119;Monitor - LG IPS;SS02;Monitor;5464;LG Monitor;SS02;Monitor
4119;Monitor - LG IPS;SS02;Monitor;4630;Monitor LG;SS02;Monitor
4098;Laptop - DELL Latitude 3520;SS03;Laptop;4543;Laptop DELL Latitude 3520;SS03;Laptop
4098;Laptop - DELL Latitude 3520;SS03;Laptop;4555;Laptop - Latitude 3520;SS03;Laptop
3822;Laptop - ASUS ROG Strix SCAR;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3822;Laptop - ASUS ROG Strix SCAR;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3790;Laptop - AMD Ryzen 3;SS03;Laptop;4868;Laptop;SS03;Laptop
3790;Laptop - AMD Ryzen 3;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
3787;Laptop - ASUS TUF;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3787;Laptop - ASUS TUF;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3044;"Monitor- LG IPS 23,8""";SS02;Monitor;5464;LG Monitor;SS02;Monitor
3044;"Monitor- LG IPS 23,8""";SS02;Monitor;4630;Monitor LG;SS02;Monitor
134333;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék;83558;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék
134333;FORGATHATÓ KAROSSZÉK SZÖVET KÁRPIT (DB);BU0501;Irodai forgószék;82679;FORGATHATÓ KAROSSZÉK KLF. (DB);BU0501;Irodai forgószék
150995;FORGÓSZÉK Klf. (DB);BU0501;Irodai forgószék;29802;Irodai forgószék;BU0501;Irodai forgószék
150995;FORGÓSZÉK Klf. (DB);BU0501;Irodai forgószék;28873;Irodai forgószék;BU0501;Irodai forgószék
33576;Irodai forgószék;BU0501;Irodai forgószék;29802;Irodai forgószék;BU0501;Irodai forgószék
33576;Irodai forgószék;BU0501;Irodai forgószék;28873;Irodai forgószék;BU0501;Irodai forgószék
33579;Irodai forgószék;BU0501;Irodai forgószék;29802;Irodai forgószék;BU0501;Irodai forgószék
